packet_num,type,type_name,timestamp,altitude
5,4,alt,6350000,74.58335876464844
46,4,alt,8940000,74.62700653076172
47,4,alt,9010000,74.54531860351562
48,4,alt,9080000,74.46053314208984
49,4,alt,9150000,74.54531860351562
50,4,alt,9220000,74.46053314208984
78,4,alt,9290000,74.03971862792969
79,4,alt,9360000,73.952392578125
128,4,alt,9430000,73.78538513183594
129,4,alt,9500000,74.12397766113281
130,4,alt,9570000,73.78538513183594
180,4,alt,9640000,74.03971862792969
181,4,alt,9710000,74.29353332519531
182,4,alt,9780000,74.3783187866211
183,4,alt,9850000,74.29097747802734
233,4,alt,9920000,74.3757553100586
234,4,alt,9990000,74.12397766113281
235,4,alt,10060000,74.79914093017578
281,4,alt,10130000,73.53105926513672
282,4,alt,10200000,73.78538513183594
283,4,alt,10270000,74.3783187866211
334,4,alt,10340000,73.95494079589844
335,4,alt,10410000,73.78791809082031
336,4,alt,10480000,74.03971862792969
385,4,alt,10550000,73.61836242675781
386,4,alt,10620000,74.20875549316406
387,4,alt,10690000,74.54788208007812
388,4,alt,10760000,74.80171966552734
438,4,alt,10830000,74.46309661865234
439,4,alt,10900000,74.03971862792969
440,4,alt,10970000,74.80171966552734
492,4,alt,11040000,74.3783187866211
493,4,alt,11110000,74.46309661865234
494,4,alt,11180000,74.55044555664062
515,4,alt,11250000,73.95747375488281
516,4,alt,11320000,73.95747375488281
565,4,alt,11390000,73.70314025878906
566,4,alt,11460000,73.61836242675781
567,4,alt,11530000,73.53358459472656
613,4,alt,11600000,73.95747375488281
614,4,alt,11670000,73.78791809082031
615,4,alt,11740000,74.2113037109375
668,4,alt,11810000,74.0422592163086
669,4,alt,11880000,74.63471221923828
670,4,alt,11950000,73.87269592285156
716,4,alt,12020000,74.2113037109375
717,4,alt,12090000,74.38087463378906
718,4,alt,12160000,74.2113037109375
747,4,alt,12230000,73.61836242675781
748,4,alt,12300000,73.61836242675781
795,4,alt,12370000,73.70314025878906
796,4,alt,12440000,73.87269592285156
797,4,alt,12510000,74.04480743408203
825,4,alt,12580000,73.70568084716797
826,4,alt,12650000,73.62089538574219
876,4,alt,12720000,73.62089538574219
877,4,alt,12790000,73.62089538574219
878,4,alt,12860000,73.96002197265625
879,4,alt,12930000,73.70568084716797
929,4,alt,13000000,73.96002197265625
930,4,alt,13070000,73.79045867919922
931,4,alt,13140000,73.79045867919922
982,4,alt,13210000,74.12907409667969
983,4,alt,13280000,74.63728332519531
984,4,alt,13350000,74.12907409667969
1010,4,alt,13420000,74.29608917236328
1011,4,alt,13490000,74.46822357177734
1057,4,alt,13560000,74.63728332519531
1058,4,alt,13630000,74.29608917236328
1059,4,alt,13700000,74.46565246582031
1109,4,alt,13770000,74.46822357177734
1110,4,alt,13840000,74.63471221923828
1111,4,alt,13910000,73.875244140625
1160,4,alt,13980000,74.63471221923828
1161,4,alt,14050000,74.63471221923828
1162,4,alt,14120000,74.29608917236328
1188,4,alt,14190000,74.12907409667969
1189,4,alt,14260000,74.2113037109375
1235,4,alt,14330000,74.38343048095703
1236,4,alt,14400000,74.21385955810547
1237,4,alt,14470000,74.04480743408203
1282,4,alt,14540000,73.96002197265625
1283,4,alt,14610000,73.96002197265625
1284,4,alt,14680000,74.04480743408203
1334,4,alt,14750000,74.38343048095703
1335,4,alt,14820000,74.21385955810547
1336,4,alt,14890000,73.79045867919922
1337,4,alt,14960000,73.96002197265625
1387,4,alt,15030000,74.29864501953125
1388,4,alt,15100000,73.875244140625
1389,4,alt,15170000,74.12907409667969
1435,4,alt,15240000,74.29864501953125
1436,4,alt,15310000,73.96002197265625
1437,4,alt,15380000,74.29864501953125
1487,4,alt,15450000,73.875244140625
1488,4,alt,15520000,74.12907409667969
1489,4,alt,15590000,73.79045867919922
1539,4,alt,15660000,73.53611755371094
1540,4,alt,15730000,73.79299926757812
1541,4,alt,15800000,74.38343048095703
1591,4,alt,15870000,73.8777847290039
1592,4,alt,15940000,74.04480743408203
1593,4,alt,16010000,74.38343048095703
1640,4,alt,16080000,74.46822357177734
1641,4,alt,16150000,73.70821380615234
1642,4,alt,16220000,73.6234359741211
1643,4,alt,16290000,74.04480743408203
1696,4,alt,16360000,74.38343048095703
1697,4,alt,16430000,74.21385955810547
1698,4,alt,16500000,73.79045867919922
1745,4,alt,16570000,73.70821380615234
1746,4,alt,16640000,73.70821380615234
1747,4,alt,16710000,73.70821380615234
1795,4,alt,16780000,74.13162994384766
1796,4,alt,16850000,73.79299926757812
1797,4,alt,16920000,74.13162994384766
1826,4,alt,16990000,73.96257019042969
1827,4,alt,17060000,73.8777847290039
1876,4,alt,17130000,73.8777847290039
1877,4,alt,17200000,74.21641540527344
1878,4,alt,17270000,74.13162994384766
1924,4,alt,17340000,73.96257019042969
1925,4,alt,17410000,74.13162994384766
1926,4,alt,17480000,73.45438385009766
1954,4,alt,17550000,73.79299926757812
1955,4,alt,17620000,73.70821380615234
2004,4,alt,17690000,73.70821380615234
2005,4,alt,17760000,73.96257019042969
2006,4,alt,17830000,74.13162994384766
2054,4,alt,17900000,73.45438385009766
2055,4,alt,17970000,73.8777847290039
2056,4,alt,18040000,73.62596130371094
2109,4,alt,18110000,73.79299926757812
2110,4,alt,18180000,73.8777847290039
2111,4,alt,18250000,73.70821380615234
2112,4,alt,18320000,74.13417053222656
2162,4,alt,18390000,74.13162994384766
2163,4,alt,18460000,73.96257019042969
2164,4,alt,18530000,73.88032531738281
2208,4,alt,18600000,73.54117584228516
2209,4,alt,18670000,73.37212371826172
2210,4,alt,18740000,73.62596130371094
2262,4,alt,18810000,73.4569091796875
2263,4,alt,18880000,73.88032531738281
2264,4,alt,18950000,74.30375671386719
2289,4,alt,19020000,73.4569091796875
2290,4,alt,19090000,73.54117584228516
2340,4,alt,19160000,74.21896362304688
2341,4,alt,19230000,74.21896362304688
2342,4,alt,19300000,73.37212371826172
2391,4,alt,19370000,73.7955322265625
2392,4,alt,19440000,73.9651107788086
2393,4,alt,19510000,73.71074676513672
2419,4,alt,19580000,73.62596130371094
2420,4,alt,19650000,73.54117584228516
2446,4,alt,19720000,73.88286590576172
2447,4,alt,19790000,73.28734588623047
2493,4,alt,19860000,73.37212371826172
2494,4,alt,19930000,74.05245208740234
2495,4,alt,20000000,73.7955322265625
2546,4,alt,20070000,73.20256042480469
2547,4,alt,20140000,73.37464904785156
2548,4,alt,20210000,73.54370880126953
2594,4,alt,20280000,73.205078125
2595,4,alt,20350000,73.45943450927734
2596,4,alt,20420000,73.45943450927734
2646,4,alt,20490000,71.76789093017578
2647,4,alt,20560000,71.77035522460938
2648,4,alt,20630000,71.6008071899414
2674,4,alt,20700000,71.85760498046875
2675,4,alt,20770000,71.85760498046875
2720,4,alt,20840000,71.85760498046875
2721,4,alt,20910000,71.51849365234375
2722,4,alt,20980000,71.51849365234375
2773,4,alt,21050000,72.02664947509766
2774,4,alt,21120000,72.11143493652344
2775,4,alt,21190000,71.68804931640625
